Force,Distance,Time
-0.01,34.0,4.0
-0.02,34.0,4.0
0.01,34.0,5.0
0.01,33.0,5.0
0.02,33.0,6.0
0.02,33.0,6.0
0.01,34.0,7.0
0.02,33.0,7.0
0.02,33.0,8.0
0.02,33.0,8.0
0.02,32.0,9.0
0.02,32.0,9.0
0.03,33.0,10.0
0.03,32.0,10.0
0.03,33.0,11.0
-0.02,32.0,11.0
-0.1,12.0,12.0
-0.21,20.0,12.0
-0.29,18.0,13.0
-0.39,59.0,13.0
-0.5,0.0,14.0
-0.56,0.0,14.0
-0.58,15.0,15.0
-0.62,9.0,15.0
-0.63,13.0,16.0
-0.64,6.0,16.0
-0.67,5.0,17.0
-0.68,5.0,17.0
-0.7,6.0,18.0
-0.71,0.0,18.0
-0.72,6.0,19.0
-0.73,0.0,19.0
-0.65,0.0,20.0
-0.62,0.0,20.0
-0.58,26.0,21.0
-0.5,26.0,21.0
-0.43,26.0,22.0
-0.34,26.0,22.0
-0.29,26.0,23.0
-0.27,26.0,23.0
-0.27,25.0,24.0
